id,title,publication_date,doi,type,cited_by_count,source_name,authors,first_author_affiliations,is_oa,oa_status,oa_url,abstract,topics
https://openalex.org/W4409441254,Can We Avoid Nuclear War?,2025-04-15,https://doi.org/10.1093/9780197799734.003.0018,book-chapter,0,,O. B. Toon; Alan Robock,,False,closed,,"Abstract This chapter discusses the history of efforts to lessen the threat of nuclear war, including treaties to limit testing, treaties to ban nuclear weapons from certain places (like the Southern Hemisphere and space), and the awarding of Nobel Peace Prizes for these efforts. Many have argued that nuclear war has been deterred since World War II by the threat of mutual assured destruction from nuclear weapons. However, notable defense experts and politicians have argued that mutual assured destruction is a flawed concept and that we have just been lucky to have avoided nuclear conflict. Nuclear winter shows that launching a nuclear first strike is a form of suicide, self-assured destruction. How can we avoid nuclear war? What can you, both individually and collectively, do so that we don’t end up like the dinosaurs?",Nuclear Issues and Defense; Space Science and Extraterrestrial Life; European and Russian Geopolitical Military Strategies
https://openalex.org/W4409441086,Impacts on Humans of Nuclear War,2025-04-15,https://doi.org/10.1093/9780197799734.003.0015,book-chapter,0,,O. B. Toon; Alan Robock,,False,closed,,"Abstract Following a full-scale war between the United States, NATO, and Russia, nuclear winter is possible. In a nuclear winter, multiyear subfreezing temperatures occur at midlatitudes. Agriculture will fail under these conditions. Even a limited nuclear war or a regional conflict such as between India and Pakistan could result in enough cooling to damage many crops. We only maintain a few months of food in storage, so worldwide starvation would occur if agriculture were significantly damaged. We show in each country how many people would not survive various scenarios resulting from a war between India and Pakistan. We also discuss the potential of nuclear winter resulting from a war between the United States and Russia. Ten times more people could die in nations far removed from the conflict than would die from the direct, horrific blasts, fires, and radiation in the target nations. One to 3 billion people might starve to death after a war between India and Pakistan, while more than 6 billion could starve in a nuclear winter.",Nuclear Issues and Defense; Space Science and Extraterrestrial Life; Astronomical and nuclear sciences
https://openalex.org/W4409731335,The normative problem of nuclear war in the thought of Kenneth Waltz and John Mearsheimer,2025-04-23,https://doi.org/10.1177/00471178251334947,article,0,International Relations,Campbell Craig,Cardiff University,False,closed,,"Kenneth Waltz and John Mearsheimer are the two most important exponents of the International Relations theory of Structural Realism. A key epistemological component of structural realism is its rejection of normative advocacy, as this is both unscientific and also pointless. I show how both scholars have been unable to adhere to this rule on the question of nuclear war, and how this threatens the logic of their theorising.",Nuclear Issues and Defense; European and Russian Geopolitical Military Strategies; Space Science and Extraterrestrial Life
https://openalex.org/W4409441191,Will Humans Become Extinct from an Asteroid Collision or a Nuclear War?,2025-04-15,https://doi.org/10.1093/9780197799734.003.0017,book-chapter,0,,O. B. Toon; Alan Robock,,False,closed,,"Abstract Species do not last forever. The mean time to extinction of mammal species is about 1 million years. If Homo sapiens behave as typical mammals, we are about 20% of the way through our existence. On five occasions, mass extinctions occurred when many species disappeared at once. The asteroid impact 66 million years ago caused one mass extinction. The causes of the other four extinctions are less clear, but they may have been caused by internal processes such as continental drift, extensive volcanism, or loss of oxygen in the oceans. We are likely entering a sixth mass extinction—this time caused by humans polluting the Earth and restricting the amount of land available to other animals and plants. Will a nuclear war lead to human extinction? Are nuclear weapons the reason that our galaxy is not full of intelligent civilizations, as Carl Sagan proposed? Humans will become extinct, but how?",Nuclear Issues and Defense; Space Science and Extraterrestrial Life; Astronomical and nuclear sciences
https://openalex.org/W4409155822,The need for scientific discourse on the risk of societal collapse,2025-04-04,https://doi.org/10.1093/biosci/biaf033,article,0,BioScience,Christopher Wolf; William J. Ripple,,False,closed,,,scientometrics and bibliometrics research
https://openalex.org/W4409656223,Resilience to Abrupt Global Catastrophic Risks Disrupting Trade: Combining Urban and Near-Urban Agriculture in a Quantified Case Study of a Globally Median-Sized City,2025-04-22,https://doi.org/10.21203/rs.3.rs-4590974/v3,preprint,0,Research Square (Research Square),Matt Boyd; Nick Wilson,,False,closed,,"<title>Abstract</title> Background Abrupt global catastrophic risks (GCRs) are not improbable and could massively disrupt global trade leading to shortages of critical commodities, such as liquid fuels, upon which industrial food production, processing and distribution depends. Previous studies have suggested urban agriculture as a resilience measure in the context of climate change and other natural hazards. Aims To estimate the contribution a radical pivot to urban agriculture could have in building resilience to GCRs and the near-urban industrial agriculture needed to supplement urban food production. Methods We determined optimum crops through mathematical optimization for food calorie and protein supply per land area for both urban and near-urban (industrial) agriculture. We calculated the land area available for food production within a temperate globally median-sized city using Google Earth image analysis of residential lots and open city spaces. We calculated the population that could be fed through urban agriculture alone, and the extra near-urban land required for cropping with industrial agriculture to feed the remaining city population, under both normal climate, and potential nuclear winter conditions. Results The optimal crops for urban agriculture were peas (normal climate), and sugar beet/spinach (nuclear winter); while those optimal for industrial near-urban production were potatoes (normal climate), and wheat/carrots (nuclear winter). Urban agriculture could feed a fifth (20%) of the population. At least 1140 hectares of near-urban cultivation could make up the shortfall. Another 110 hectares of biofuel feedstock like canola (rapeseed) could provide biodiesel to run agricultural machinery without fuel trade. Significantly more cultivated area is needed in nuclear winter scenarios due to reduced yields. Conclusion Relatively little optimized near-urban industrial agriculture, along with intensified urban agriculture could feed a median-sized city in a GCR, while minimizing fuel requirements. Governments and municipal authorities could consider land use policy that encourages development of urban agriculture and near-urban cultivation of optimal crops, along with processing and local biofuel refining capacity.","Urban Agriculture and Sustainability; Environmental, Ecological, and Cultural Studies"
https://openalex.org/W4409450127,The social amplification of risk and climate disaster preparedness: lessons from the Kalapara region in rural Bangladesh,2025-04-15,https://doi.org/10.1080/17477891.2025.2492320,article,0,Environmental Hazards,M. M. Golam Rabbani; Matthew Cotton,University of York,True,hybrid,https://doi.org/10.1080/17477891.2025.2492320,,Disaster Management and Resilience; Climate change impacts on agriculture; Flood Risk Assessment and Management
https://openalex.org/W4409441078,Prologue,2025-04-15,https://doi.org/10.1093/9780197799734.003.0001,book-chapter,0,,O. B. Toon; Alan Robock,,False,closed,,"Abstract The extinction of the dinosaurs and the effects of nuclear conflicts are usually considered separate topics. However, parallels between nuclear wars and asteroid impacts are evident. Explosions of atomic weapons and asteroid impacts trigger fires whose smoke can lead to global environmental catastrophes. Over time, more and more common elements between asteroid impacts and nuclear war have been found. Investigating these common elements reveals a lot about each of them. This book explores these parallels. Part I of the book tells how the dinosaurs died, how other collisions threaten us, and how we can stop another impact. Part II describes how a nuclear war might produce fatalities across Earth, even outside combat zones, from mechanisms like those that killed the dinosaurs. The military ignores this danger. Part III, the epilogue, discusses the inevitable extinction of our species, whether nuclear war might cause extinction, and how we can eliminate the threat of nuclear war.",Nuclear Issues and Defense; Astronomical and nuclear sciences; European and Russian Geopolitical Military Strategies
https://openalex.org/W4409441217,Scenarios for War and Near Misses,2025-04-15,https://doi.org/10.1093/9780197799734.003.0010,book-chapter,0,,O. B. Toon; Alan Robock,,False,closed,,"Abstract A nuclear war is most likely to happen due to an accident. Many near misses have occurred, as outlined in this chapter. The closest we came was the Cuban Missile Crisis in 1962. This chapter includes the personal story of Alan Robock meeting Fidel Castro, who explained what happened from the Cuban point of view. The chapter also outlines a number of scenarios in which accidents are most likely to occur. Unfortunately, the current Russian invasion of Ukraine is the type of scenario most likely to trigger a nuclear war in Europe. There are also plausible scenarios for wars between India and Pakistan, or wars involving North Korea. The world needs to take steps to resolve the issues that lie behind these scenarios before it is too late.",Nuclear Issues and Defense; Astronomical and nuclear sciences; European and Russian Geopolitical Military Strategies
https://openalex.org/W4409441081,Earth in Flames,2025-04-14,https://doi.org/10.1093/9780197799734.001.0001,book,0,,O. B. Toon; Alan Robock,,False,closed,,"Abstract Sixty-six million years ago, an asteroid as large as Mt. Everest hit what is now the Yucatan Peninsula at a speed ten times faster than the fastest rifle bullet. Debris from the impact blew into space, re-entered the atmosphere as a swarm of shooting stars that burned the global forests and grasslands, leaving behind a thin global layer containing rock from the asteroid and from Mexico and smoke from the fires. This layer marks one of the greatest extinctions in Earth history, including not just dinosaurs but also fish, plankton, ammonites, and plants making up about 75% of the known species. The major culprits in these extinctions are loss of sunlight due to absorption by the smoke and decade-long Ice Age temperatures. A nuclear war with just a few hundred of the world’s 12,000 nuclear weapons targeted on densely populated cities could plunge Earth into the same types of conditions that the dinosaurs experienced. Even a war between India and Pakistan could kill 1 to 3 billion people from starvation due to agricultural failure, while 6 billion people might starve following a war involving Russia, NATO, and the United States. This book describes how the dinosaurs died and how their deaths parallel what might happen to people after a nuclear war. The book reflects on the odds of future asteroid impacts, discusses how to stop them, and ends with what the readers personally and together can do to prevent a nuclear war so that humans don’t end up like the dinosaurs.",Nuclear Issues and Defense; Space Science and Extraterrestrial Life; Planetary Science and Exploration
https://openalex.org/W4409717899,Adapting agriculture to climate catastrophes: The nuclear winter case,2025-04-23,https://doi.org/10.1088/1748-9326/adcfb5,article,0,Environmental Research Letters,Yuning Shi; Felipe Montes; Francesco Di Gioia; Lili Xia; Charles Bardeen; Charles Anderson; Yolanda Gil; Deborah Khider; Varun Ratnakar; Armen R. Kemanian,,True,gold,https://doi.org/10.1088/1748-9326/adcfb5,"Abstract Following a nuclear war, destruction would extend well beyond the blast zones due to the onset of a nuclear winter that can devastate the biosphere, including agriculture. Understanding the damage magnitude and preparing for the folly of its occurrence is critical given current geopolitical tensions. We developed and applied a framework to simulate global crop production under a nuclear winter using the Cycles agroecosystem model, incorporating UV-B radiation effects on plant growth and adaptive selection of crop maturity types (shorter cycle the lower the temperature). Using maize ( Zea maize L.) as a sentinel crop, we found that annual maize production could decline from 7% after a small-scale regional nuclear war with 5 Tg soot injection, to 80% after a global nuclear war with 150 Tg soot injection, with recovery taking from 7 to 12 years. UV-B damage would peak 6–8 years post-war and can further decrease annual maize production by 7%. Over the recovery period, adaptive selection of maize maturity types to track changing temperatures could increase production by 10% compared to a no-adaptation strategy. Seed availability may become a critical adaptation bottleneck. We propose that adaptation must include the development of Agricultural Resilience Kits, consisting of region- and climate-specific seed and technology packages designed to buffer against uncertainty while supply chains recover. This kit, congenial with the transient conditions during the recovery period, would also be applicable to other catastrophes affecting food production.",Nuclear Issues and Defense; Radioactive contamination and transfer
